SMILES,logP,fold_0,fold_1,fold_2,fold_3,fold_4
CCCOC(=O)CCC,-1.75,val,train,train,train,train
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-3.22,train,train,val,train,train
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2,train,train,train,train,val
C1CCCCCC1,-3.51,train,val,train,train,train
CCCOC=O,-0.49,val,train,train,train,train
CC(C)c1ccccc1C,-3.76,val,train,train,train,train
Nc1cccc(Cl)c1,-1.37,val,train,train,train,train
CC(C)CC(C)C,-4.26,train,train,val,train,train
o1c2ccccc2c3ccccc13,-4.6,val,train,train,train,train
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42,train,train,train,train,val
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43,train,train,val,train,train
c3ccc2nc1ccccc1cc2c3,-3.67,train,train,train,train,val
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.11,train,train,val,train,train
OCC1OC(O)C(O)C(O)C1O,0.74,train,train,train,val,train
Cc1cccc(O)c1,-0.68,val,train,train,train,train
CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O,-3.5860000000000003,train,train,train,train,val
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,-6.005,train,val,train,train,train
O=N(=O)c1ccc(cc1)N(=O)=O,-3.39,train,train,train,val,train
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696,val,train,train,train,train
CCCCCCCCCC(=O)OCC,-4.1,train,train,train,train,val
CN(C)C(=O)Nc1ccccc1,-1.6,train,train,train,val,train
CCCOCC,-0.66,train,train,train,val,train
CC(C)O,0.43,train,val,train,train,train
Cc1ccc2ccccc2c1,-3.77,val,train,train,train,train
ClC(Br)Br,-1.9,val,train,train,train,train
CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.43,train,train,train,val,train
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37,train,val,train,train,train
ClCc1ccccc1,-2.39,val,train,train,train,train
C/C=C/C=O,0.32,train,train,val,train,train
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924,train,train,val,train,train
Cc1c2ccccc2c(C)c3ccccc13,-6.57,train,train,train,train,val
CCCCCC(=O)OC,-1.87,train,val,train,train,train
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328,train,train,val,train,train
CC(=O)Nc1ccc(F)cc1,-1.78,val,train,train,train,train
CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26,train,val,train,train,train
C1CCC=CC1,-2.59,val,train,train,train,train
